testcase	rpm	encoder_resolution	kp	ki	traj_type	v_max	estimator_name	p_err_max	p_err_max_pct	p_err_mean	p_err_mean_pct	p_err_rms	p_err_rms_pct	v_err_max	v_err_max_pct	v_err_mean	v_err_mean_pct	v_err_rms	v_err_rms_pct	a_err_max	a_err_max_pct	a_err_mean	a_err_mean_pct	a_err_rms	a_err_rms_pct
1272	44	360	10	10.9749876549306	VelocityStep	264	PITrackingLoop(kp=10,ki=11)	22.0797801212431	40.6988500891639	16.6622871336854	13.9563178348143	17.1087220178014	16.954855358456	24.8164019757676	9.40015226354832	-14.1578362336611	-5.36281675517468	16.2705439803483	6.16308484104103	7805.50433695137	Inf	-49.6585447527816	NaN	4429.19883237702	Inf
1273	46	360	10	10.9749876549306	VelocityStep	276	PITrackingLoop(kp=10,ki=11)	23.0683302214473	40.6710636705829	17.3995044602289	13.9415497214238	17.8664899040284	16.9388900043851	25.7569177685497	9.33221658280785	-14.8025780513625	-5.36325291716033	16.9838649014282	6.15357423964791	7690.59214530307	Inf	-43.8864420122494	NaN	4486.29920682964	Inf
1274	48	360	10	10.9749876549306	VelocityStep	288	PITrackingLoop(kp=10,ki=11)	24.0457652885702	40.6263287831687	18.1304158391893	13.923748965735	18.618435698013	16.9193441242229	26.6419003607596	9.25065984748598	-15.4390129382013	-5.3607683813199	17.7017928499951	6.14645585069273	7605.87728803921	Inf	-50.7397296078387	NaN	4546.96581423446	Inf
1275	50	360	10	10.9749876549306	VelocityStep	300	PITrackingLoop(kp=10,ki=11)	24.9882982392349	40.518080635621	18.8209374471271	13.8808210859491	19.3311961027757	16.87332202345	27.1072653671184	9.03575512237281	-16.0978181495136	-5.36593938317121	18.4375260874014	6.1458420291338	7499.52043012013	Inf	-44.806185573666	NaN	4596.70184992125	Inf
2501	2	360	10	12.0450354025878	VelocityStep	12	PITrackingLoop(kp=10,ki=12)	1.52890749543707	57.1172875390101	1.22680608196368	21.8120017831307	1.24071000943144	25.5612121473424	6.52650000513846	54.3875000428205	-0.494083666785205	-4.11736388987671	2.99902746332034	24.9918955276695	9941.53597708013	Inf	-8.917608733842	NaN	1116.15546824501	Inf
2502	4	360	10	12.0450354025878	VelocityStep	24	PITrackingLoop(kp=10,ki=12)	2.46650630848839	49.1974155456449	1.92641312957661	17.4632862463807	1.96212172412035	20.8772514804308	7.18461572804904	29.935898866871	-1.28377859013333	-5.34907745888888	3.30137384780827	13.7557243658678	9849.77831002703	Inf	-14.8154041132605	NaN	1568.88329438011	Inf
2503	6	360	10	12.0450354025878	VelocityStep	36	PITrackingLoop(kp=10,ki=12)	3.42890786075768	45.9240001048266	2.62932069061355	16.0221714682147	2.68840521757567	19.3133129532394	8.07663194164844	22.4350887268012	-1.98946703858498	-5.52629732940271	3.70702636331707	10.2972954536585	9739.81034938831	Inf	-8.78423541942167	NaN	1877.95736840689	Inf
2504	8	360	10	12.0450354025878	VelocityStep	48	PITrackingLoop(kp=10,ki=12)	4.39356999651302	44.2628706319186	3.32827265539807	15.2876484494478	3.41156712021946	18.5227642883176	8.98922662320361	18.7275554650075	-2.68238984860239	-5.58831218458832	4.25082840167893	8.85589250349777	9644.72779015117	Inf	-15.5477292838976	NaN	2163.76691620504	Inf
2505	10	360	10	12.0450354025878	VelocityStep	60	PITrackingLoop(kp=10,ki=12)	5.35312549954083	43.4012237731983	4.02270233681659	14.8306020060312	4.13054623227774	18.0285930401513	9.85065409907139	16.4177568317857	-3.40881805742567	-5.68136342904277	4.81349492689007	8.02249154481679	9533.34677574408	Inf	-9.38901257421375	NaN	2385.86662325296	Inf
2506	12	360	10	12.0450354025878	VelocityStep	72	PITrackingLoop(kp=10,ki=12)	6.33130077086794	42.6921793035985	4.73104861283339	14.5636543814053	4.86289930348568	17.740256585887	10.8977691401004	15.1357904723617	-4.07558941801742	-5.66054085835752	5.46400453700077	7.58889519027885	9438.91253193091	Inf	-16.330818663376	NaN	2605.21456183858	Inf
2507	14	360	10	12.0450354025878	VelocityStep	84	PITrackingLoop(kp=10,ki=12)	7.30290453182242	42.3105535255266	5.43440765763124	14.3617601178673	5.59076722473955	17.5223750623886	11.8794452197051	14.1421966901251	-4.78451830832722	-5.69585512896097	6.12303654360135	7.28932921857304	9343.32545073336	Inf	-22.9554244813	NaN	2801.93825680596	Inf
2508	16	360	10	12.0450354025878	VelocityStep	96	PITrackingLoop(kp=10,ki=12)	8.26504651651401	41.9353400104926	6.13185430222299	14.1993337582637	6.31333640662401	17.3485342072482	12.7674752172467	13.2994533512986	-5.48937305698803	-5.71809693436253	6.81410810013277	7.09802927097163	9232.69178833913	Inf	-16.9270698339856	NaN	2962.63383468321	Inf
2509	18	360	10	12.0450354025878	VelocityStep	108	PITrackingLoop(kp=10,ki=12)	9.23234285556416	41.6985893859564	6.83480193110174	14.0819924593859	7.04092388055275	17.2216463271074	13.7069634975672	12.6916328681178	-6.19491839402887	-5.73603555002674	7.51883690368046	6.96188602192635	9134.04603497294	Inf	-23.5809326140007	NaN	3127.38060592533	Inf
2510	20	360	10	12.0450354025878	VelocityStep	120	PITrackingLoop(kp=10,ki=12)	10.1880051011104	41.4086303383404	7.51803386555148	13.9554002161428	7.74945945183438	17.0849366972462	14.5264221432398	12.1053517860332	-6.89065575186938	-5.74221312655782	8.22603153920532	6.8550262826711	9027.77411491034	Inf	-17.6880251258333	NaN	3263.73701359447	Inf
2511	22	360	10	12.0450354025878	VelocityStep	132	PITrackingLoop(kp=10,ki=12)	11.1739095230551	41.2845564825949	8.23662699244789	13.9055005137832	8.49224749985388	17.0317049047296	15.6516207627607	11.8572884566369	-7.57920846450256	-5.74182459432012	8.96144348626146	6.78897233807687	8928.97119344019	Inf	-24.4426846330107	NaN	3405.13220517136	Inf
2512	24	360	10	12.0450354025878	VelocityStep	144	PITrackingLoop(kp=10,ki=12)	12.1555085653718	41.1409981664508	8.93647904204093	13.8373937680069	9.21658906469182	16.958260704686	16.7277137281675	11.616467866783	-8.25331485802355	-5.73146865140524	9.67808976942168	6.7208956732095	8835.61637837212	Inf	-31.3773034613968	NaN	3536.49429107938	Inf
2513	26	360	10	12.0450354025878	VelocityStep	156	PITrackingLoop(kp=10,ki=12)	13.1151905552337	41.0304110767546	9.63851244867722	13.783506437132	9.94371194818065	16.9007529007034	17.5935233275135	11.2778995689189	-8.97668481788072	-5.75428513966713	10.4226424760324	6.68118107437977	8726.77544570146	Inf	-25.1871514533861	NaN	3646.11114006451	Inf
